family,tag,secs,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig
CSP,"k=12, shrinkage LDA",10.90613293647766,"k=12, shrinkage LDA",0.6827956989247311,0.6584698986859905,0.7063977851552605,0.6823461477614302,0.143455820310055,0.6444444444444445,0.5833333333333333,0.7738095238095237,0.4047619047619047,0.9767441860465116,35,1488,0.6571428571428571
CSP,"k=16, shrinkage LDA",15.070585012435911,"k=16, shrinkage LDA",0.6881720430107527,0.6639445031529867,0.7116545203117008,0.687688393186732,0.1490619628344759,0.6444444444444445,0.5851190476190475,0.7857142857142857,0.4047619047619047,0.9767441860465116,35,1488,0.5714285714285714
CSP,"k=24, shrinkage LDA",19.569843769073486,"k=24, shrinkage LDA",0.6848118279569892,0.6605224469649333,0.7083694899648487,0.6843392395717978,0.1472271043455907,0.6511627906976745,0.5952380952380952,0.75,0.4047619047619047,0.9555555555555556,35,1488,0.6285714285714286
CSP,"k=32, shrinkage LDA",27.827685832977295,"k=32, shrinkage LDA",0.6935483870967742,0.6694227911672731,0.7169075655147794,0.693141907925961,0.1420104283095373,0.65,0.6190476190476191,0.7619047619047619,0.4761904761904761,0.9555555555555556,35,1488,0.6571428571428571
CSP,"k=6, LR C=0.03",9.444247961044312,"k=6, LR C=0.03",0.6801075268817204,0.6557339618675211,0.7037680498617924,0.6795501766598112,0.1529423411566939,0.6666666666666666,0.5714285714285714,0.7619047619047619,0.4047619047619047,0.9777777777777776,35,1488,0.5428571428571428
CSP,"k=6, LR C=0.3",9.1396381855011,"k=6, LR C=0.3",0.6801075268817204,0.6557339618675211,0.7037680498617924,0.6795501766598112,0.1516284922251255,0.6511627906976745,0.5714285714285714,0.7619047619047619,0.4047619047619047,0.9777777777777776,35,1488,0.5428571428571428
CSP,"k=6, LR C=3",9.595927000045776,"k=6, LR C=3",0.6794354838709677,0.6550501188524024,0.7031104746159957,0.6788699045509676,0.1504170225641196,0.6511627906976745,0.5714285714285714,0.7619047619047619,0.4047619047619047,0.9777777777777776,35,1488,0.5428571428571428
CSP,"k=12, LR C=0.03",12.60200309753418,"k=12, LR C=0.03",0.6794354838709677,0.6550501188524024,0.7031104746159957,0.6789561250856931,0.1480222341597427,0.6444444444444445,0.5833333333333333,0.7738095238095237,0.3809523809523809,0.9767441860465116,35,1488,0.6285714285714286
CSP,"k=12, LR C=0.3",12.31500506401062,"k=12, LR C=0.3",0.6794354838709677,0.6550501188524024,0.7031104746159957,0.6789561250856933,0.1464367726959721,0.6444444444444445,0.5833333333333333,0.7619047619047619,0.4047619047619047,0.9767441860465116,35,1488,0.6285714285714286
CSP,"k=12, LR C=3",13.123543739318848,"k=12, LR C=3",0.6780913978494624,0.653682601593047,0.7017951550782123,0.6776409323419291,0.1466506809858231,0.6444444444444445,0.5833333333333333,0.7619047619047619,0.4047619047619047,0.9767441860465116,35,1488,0.6285714285714286
CSP,"k=8, shrinkage=0.0",8.912083148956299,"k=8, shrinkage=0.0",0.6814516129032258,0.6571018171360503,0.705083030836789,0.6811192849232717,0.1461399154348182,0.6444444444444445,0.5952380952380952,0.7619047619047619,0.4285714285714285,0.9555555555555556,35,1488,0.6
CSP,"k=8, shrinkage=0.02",8.935502052307129,"k=8, shrinkage=0.02",0.6814516129032258,0.6571018171360503,0.705083030836789,0.6811192849232717,0.1461399154348182,0.6444444444444445,0.5952380952380952,0.7619047619047619,0.4285714285714285,0.9555555555555556,35,1488,0.6
CSP,"k=8, shrinkage=0.05",9.920034885406494,"k=8, shrinkage=0.05",0.6814516129032258,0.6571018171360503,0.705083030836789,0.6811192849232717,0.1461399154348182,0.6444444444444445,0.5952380952380952,0.7619047619047619,0.4285714285714285,0.9555555555555556,35,1488,0.6
CSP,"k=8, shrinkage=0.2",9.161966800689695,"k=8, shrinkage=0.2",0.6807795698924731,0.6564178612640398,0.7044255686336218,0.6804390128144282,0.1464923443205709,0.6444444444444445,0.5952380952380952,0.7619047619047619,0.4285714285714285,0.9555555555555556,35,1488,0.6
CSP,"k=8, shrinkage=0.5",10.119275093078612,"k=8, shrinkage=0.5",0.6814516129032258,0.6571018171360503,0.705083030836789,0.6811192849232716,0.1454537550264103,0.6444444444444445,0.5952380952380952,0.7619047619047619,0.4285714285714285,0.9555555555555556,35,1488,0.6
tangent-space,logeuclid C=0.0001,59.05238103866577,logeuclid C=0.0001,0.646505376344086,0.6216090747453635,0.6708219221521459,0.6460533670832673,0.1567749632571761,0.6,0.5476190476190477,0.7142857142857143,0.4285714285714285,1.0,35,1488,0.4
tangent-space,logeuclid C=0.0003,58.58513402938843,logeuclid C=0.0003,0.6384408602150538,0.6134389364854556,0.662894989787004,0.6379375626219481,0.1535081820267086,0.5952380952380952,0.5357142857142858,0.6904761904761905,0.4285714285714285,0.9777777777777776,35,1488,0.4
tangent-space,logeuclid C=0.001,60.86289596557617,logeuclid C=0.001,0.6391129032258065,0.6141194959991643,0.6635558531733651,0.6387061646363972,0.147173402136421,0.6190476190476191,0.5238095238095238,0.6666666666666666,0.4047619047619047,0.9523809523809524,35,1488,0.4
tangent-space,logeuclid C=0.003,66.75153017044067,logeuclid C=0.003,0.6276881720430108,0.6025569614467914,0.6523141903527225,0.6273456204187102,0.1325870938221598,0.6,0.5293466223698782,0.6785714285714286,0.4523809523809524,0.8888888888888888,35,1488,0.3714285714285714
tangent-space,logeuclid C=0.01,74.96453499794006,logeuclid C=0.01,0.6122311827956989,0.5869367929436479,0.6370815962910281,0.6119216368718029,0.1226836014796941,0.5714285714285714,0.5285714285714286,0.6666666666666666,0.4285714285714285,0.8604651162790697,35,1488,0.3714285714285714
tangent-space,logeuclid C=0.03,80.13818597793579,logeuclid C=0.03,0.6041666666666666,0.5787975705584129,0.629123715131738,0.6038195433212045,0.1131356818971728,0.5777777777777777,0.5404761904761906,0.6547619047619048,0.3809523809523809,0.8604651162790697,35,1488,0.3428571428571428
log-variance,C=0.003,5.218716859817505,C=0.003,0.6404569892473119,0.615480770092196,0.6648774246945335,0.6400123925539208,0.12030945102808428,0.6,0.5476190476190477,0.7142857142857143,0.4523809523809524,0.9111111111111111,35,1488,0.42857142857142855
log-variance,C=0.01,0.10840702056884766,C=0.01,0.6471774193548387,0.6222902585118525,0.671482160515168,0.6466178874650635,0.12622843969400777,0.6222222222222222,0.5476190476190477,0.7380952380952381,0.4523809523809524,0.9333333333333333,35,1488,0.4857142857142857
log-variance,C=0.03,0.12914013862609863,C=0.03,0.6485215053763441,0.6236527834639196,0.6728024796204329,0.6481031482360388,0.13438023198614396,0.6,0.5476190476190477,0.75,0.4523809523809524,0.9777777777777777,35,1488,0.42857142857142855
log-variance,C=0.1,0.11833810806274414,C=0.1,0.6478494623655914,0.6229714947286571,0.672142346360795,0.6473820070663924,0.13405559314614882,0.5952380952380952,0.5476190476190477,0.7468253968253968,0.4523809523809524,0.9777777777777777,35,1488,0.45714285714285713
log-variance,C=1,0.13246536254882812,C=1,0.6478494623655914,0.6229714947286571,0.672142346360795,0.6475362548120023,0.13787500571508887,0.5952380952380952,0.5555555555555556,0.7380952380952381,0.42857142857142855,0.9777777777777777,35,1488,0.4857142857142857
band,4-8 Hz,10.035384178161621,4-8 Hz,0.581989247311828,0.5564508473513021,0.6072033738434036,0.5829755312977903,0.10247365823532856,0.5714285714285714,0.5174603174603174,0.6428571428571429,0.38095238095238093,0.8333333333333334,35,1488,0.2857142857142857
band,8-13 Hz,12.639367818832397,8-13 Hz,0.646505376344086,0.6216090747453635,0.6708219221521459,0.6458445393661341,0.14472355655513908,0.6222222222222222,0.5476190476190477,0.7142857142857143,0.38095238095238093,0.9777777777777777,35,1488,0.45714285714285713
band,13-30 Hz,20.414051055908203,13-30 Hz,0.6424731182795699,0.6175230698444217,0.6668593928923616,0.641969361387966,0.13696312951769915,0.6222222222222222,0.5476190476190477,0.7142857142857143,0.38095238095238093,0.9555555555555556,35,1488,0.45714285714285713
band,8-30 Hz,21.4953191280365,8-30 Hz,0.6827956989247311,0.6584698986859905,0.7063977851552605,0.6823461477614302,0.14345582031005502,0.6444444444444445,0.5833333333333333,0.7738095238095237,0.40476190476190477,0.9767441860465116,35,1488,0.6571428571428571
band,7-35 Hz,19.641993045806885,7-35 Hz,0.6854838709677419,0.6612067437005171,0.7090266107325303,0.6849514844697568,0.1355633864352592,0.6444444444444445,0.5763888888888888,0.7380952380952381,0.5,0.9767441860465116,35,1488,0.6
band,4-38 Hz,19.21911072731018,4-38 Hz,0.6740591397849462,0.6495813933705561,0.6978478507492331,0.673874386964088,0.14883233710331234,0.6428571428571429,0.5476190476190477,0.7738095238095237,0.5,0.9767441860465116,35,1488,0.5142857142857142
window,0.0-2.0 s,20.37361979484558,0.0-2.0 s,0.7439516129032258,0.7209719191779095,0.7659643032609427,0.7438741232927281,0.12070458152186925,0.7619047619047619,0.6785714285714286,0.8214285714285714,0.40476190476190477,0.9523809523809523,35,1488,0.8285714285714286
window,0.5-2.5 s,22.65971302986145,0.5-2.5 s,0.6901881720430108,0.6659984266898884,0.7136248475000035,0.6897495122079841,0.1373690991462958,0.6444444444444445,0.5952380952380952,0.7976190476190477,0.5,0.9777777777777777,35,1488,0.5142857142857142
window,0.5-3.5 s,23.66630482673645,0.5-3.5 s,0.6827956989247311,0.6584698986859905,0.7063977851552605,0.6823461477614302,0.14345582031005502,0.6444444444444445,0.5833333333333333,0.7738095238095237,0.40476190476190477,0.9767441860465116,35,1488,0.6571428571428571
window,0.0-4.0 s,18.815503120422363,0.0-4.0 s,0.7157258064516129,0.6920608653595208,0.7385361654057063,0.7156723619680432,0.1346396012512384,0.7111111111111111,0.6071428571428572,0.7857142857142857,0.5,1.0,35,1488,0.6857142857142857
window,1.0-4.0 s,18.901509046554565,1.0-4.0 s,0.6565860215053764,0.6318323701658066,0.6807199514220145,0.6560805252333491,0.1601049915014005,0.6428571428571429,0.5476190476190477,0.75,0.38095238095238093,0.9777777777777777,35,1488,0.5142857142857142
window,0.0-4.1 s,19.226696968078613,0.0-4.1 s,0.7163978494623656,0.6927479042561611,0.7391905387977786,0.7164433370247324,0.13650651169172606,0.7111111111111111,0.5976190476190476,0.7857142857142857,0.5,0.9777777777777777,35,1488,0.6285714285714286
