subject,"A within-subj, random CV","B within-subj, leave-run-out","C cross-subj, LOSO + align",D LOSO + 16 calib trials,acc_loso,acc_within_run,acc_within_random,acc_loso_calib
33,0.6904761904761905,0.7380952380952381,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.7380952380952381,0.6904761904761905,0.8076923076923077
35,0.7777777777777778,0.8,0.7333333333333333,0.6896551724137931,0.7333333333333333,0.8,0.7777777777777778,0.6896551724137931
36,0.5,0.5952380952380952,0.5238095238095238,0.6153846153846154,0.5238095238095238,0.5952380952380952,0.5,0.6153846153846154
37,0.4186046511627907,0.46511627906976744,0.5813953488372093,0.48148148148148145,0.5813953488372093,0.46511627906976744,0.4186046511627907,0.48148148148148145
39,0.40476190476190477,0.5,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.5,0.40476190476190477,0.6923076923076923
41,0.4318181818181818,0.5454545454545454,0.7954545454545454,0.8928571428571429,0.7954545454545454,0.5454545454545454,0.4318181818181818,0.8928571428571429
43,0.8333333333333334,0.7380952380952381,0.8571428571428571,0.8846153846153846,0.8571428571428571,0.7380952380952381,0.8333333333333334,0.8846153846153846
46,0.5111111111111111,0.5111111111111111,0.6666666666666666,0.7931034482758621,0.6666666666666666,0.5111111111111111,0.5111111111111111,0.7931034482758621
49,0.6666666666666666,0.6904761904761905,0.8809523809523809,0.9615384615384616,0.8809523809523809,0.6904761904761905,0.6666666666666666,0.9615384615384616
50,0.5714285714285714,0.5238095238095238,0.6428571428571429,0.6538461538461539,0.6428571428571429,0.5238095238095238,0.5714285714285714,0.6538461538461539
51,0.5777777777777777,0.6222222222222222,0.6444444444444445,0.6551724137931034,0.6444444444444445,0.6222222222222222,0.5777777777777777,0.6551724137931034
52,0.7619047619047619,0.6904761904761905,0.8333333333333334,0.8076923076923077,0.8333333333333334,0.6904761904761905,0.7619047619047619,0.8076923076923077
54,0.7619047619047619,0.7857142857142857,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.7857142857142857,0.7619047619047619,0.7692307692307693
57,0.4666666666666667,0.5555555555555556,0.6,0.7241379310344828,0.6,0.5555555555555556,0.4666666666666667,0.7241379310344828
59,0.40476190476190477,0.38095238095238093,0.5,0.5,0.5,0.38095238095238093,0.40476190476190477,0.5
60,0.9047619047619048,0.8095238095238095,0.8809523809523809,0.8846153846153846,0.8809523809523809,0.8095238095238095,0.9047619047619048,0.8846153846153846
61,0.7111111111111111,0.7555555555555555,0.8222222222222222,0.8275862068965517,0.8222222222222222,0.7555555555555555,0.7111111111111111,0.8275862068965517
63,0.6190476190476191,0.5714285714285714,0.42857142857142855,0.4230769230769231,0.42857142857142855,0.5714285714285714,0.6190476190476191,0.4230769230769231
66,0.6,0.4444444444444444,0.35555555555555557,0.3448275862068966,0.35555555555555557,0.4444444444444444,0.6,0.3448275862068966
68,0.3333333333333333,0.47619047619047616,0.6904761904761905,0.6923076923076923,0.6904761904761905,0.47619047619047616,0.3333333333333333,0.6923076923076923
69,0.40476190476190477,0.5476190476190477,0.5238095238095238,0.5384615384615384,0.5238095238095238,0.5476190476190477,0.40476190476190477,0.5384615384615384
70,0.7857142857142857,0.7619047619047619,0.9047619047619048,0.9615384615384616,0.9047619047619048,0.7619047619047619,0.7857142857142857,0.9615384615384616
73,0.40476190476190477,0.47619047619047616,0.7380952380952381,0.7692307692307693,0.7380952380952381,0.47619047619047616,0.40476190476190477,0.7692307692307693
76,0.5238095238095238,0.5,0.6428571428571429,0.6538461538461539,0.6428571428571429,0.5,0.5238095238095238,0.6538461538461539
78,0.40476190476190477,0.47619047619047616,0.5952380952380952,0.5769230769230769,0.5952380952380952,0.47619047619047616,0.40476190476190477,0.5769230769230769
80,0.5238095238095238,0.5476190476190477,0.7619047619047619,0.7307692307692307,0.7619047619047619,0.5476190476190477,0.5238095238095238,0.7307692307692307
81,0.6428571428571429,0.7380952380952381,0.6904761904761905,0.7692307692307693,0.6904761904761905,0.7380952380952381,0.6428571428571429,0.7692307692307693
83,0.6,0.7111111111111111,0.7555555555555555,0.6896551724137931,0.7555555555555555,0.7111111111111111,0.6,0.6896551724137931
86,0.6,0.5111111111111111,0.8222222222222222,0.9655172413793104,0.8222222222222222,0.5111111111111111,0.6,0.9655172413793104
87,0.5952380952380952,0.5,0.5,0.5384615384615384,0.5,0.5,0.5952380952380952,0.5384615384615384
90,0.6666666666666666,0.5952380952380952,0.5476190476190477,0.5,0.5476190476190477,0.5952380952380952,0.6666666666666666,0.5
94,0.8809523809523809,0.9047619047619048,0.9523809523809523,0.9230769230769231,0.9523809523809523,0.9047619047619048,0.8809523809523809,0.9230769230769231
96,0.5333333333333333,0.4888888888888889,0.5777777777777777,0.5517241379310345,0.5777777777777777,0.4888888888888889,0.5333333333333333,0.5517241379310345
102,0.7857142857142857,0.6666666666666666,0.8095238095238095,0.7692307692307693,0.8095238095238095,0.6666666666666666,0.7857142857142857,0.7692307692307693
103,0.6666666666666666,0.6,0.6444444444444445,0.5172413793103449,0.6444444444444445,0.6,0.6666666666666666,0.5172413793103449
105,0.42857142857142855,0.5476190476190477,0.5952380952380952,0.5769230769230769,0.5952380952380952,0.5476190476190477,0.42857142857142855,0.5769230769230769
106,0.4666666666666667,0.6,0.6666666666666666,0.6551724137931034,0.6666666666666666,0.6,0.4666666666666667,0.6551724137931034
109,0.5952380952380952,0.47619047619047616,0.5476190476190477,0.5384615384615384,0.5476190476190477,0.47619047619047616,0.5952380952380952,0.5384615384615384
