paradigm,regime,shuffled,subject,n,acc,ci_lo,ci_hi,sig_thresh,majority,train_acc
imagined,"C cross-subj, LOSO + align",False,2,42,0.8571428571428571,0.7146061580867288,0.9457161416212352,0.6190476190476191,,0.6826666666666666
imagined,"C cross-subj, LOSO + align",False,4,42,0.7142857142857143,0.554161196692031,0.8428085332342546,0.6190476190476191,,0.6886666666666666
imagined,"C cross-subj, LOSO + align",False,5,42,0.3333333333333333,0.1956680480365183,0.49548746426323076,0.6190476190476191,,0.6986666666666667
imagined,"C cross-subj, LOSO + align",False,6,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,,0.69
imagined,"C cross-subj, LOSO + align",False,7,45,1.0,0.9212948995931569,1.0,0.6222222222222222,,0.6786666666666666
imagined,"C cross-subj, LOSO + align",False,8,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191,,0.6913333333333334
imagined,"C cross-subj, LOSO + align",False,9,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,,0.694
imagined,"C cross-subj, LOSO + align",False,10,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191,,0.69
imagined,"C cross-subj, LOSO + align",False,13,42,0.8333333333333334,0.6863591331193288,0.9302593363443249,0.6190476190476191,,0.6866666666666666
imagined,"C cross-subj, LOSO + align",False,14,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191,,0.688
imagined,"C cross-subj, LOSO + align",False,19,42,0.7619047619047619,0.605497570978424,0.8794838135078201,0.6190476190476191,,0.686
imagined,"C cross-subj, LOSO + align",False,20,42,0.6904761904761905,0.5291393710678833,0.8237789173580449,0.6190476190476191,,0.6886666666666666
imagined,"C cross-subj, LOSO + align",False,22,45,0.6444444444444445,0.48780100514814595,0.7813159892644141,0.6222222222222222,,0.688
imagined,"C cross-subj, LOSO + align",False,25,42,0.8095238095238095,0.6588155863958433,0.9139944055440679,0.6190476190476191,,0.6886666666666666
imagined,"C cross-subj, LOSO + align",False,26,42,0.6666666666666666,0.5045125357367691,0.8043319519634817,0.6190476190476191,,0.686
imagined,"C cross-subj, LOSO + align",False,27,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191,,0.694
imagined,"C cross-subj, LOSO + align",False,30,45,0.7555555555555555,0.6046290712401733,0.871177185396492,0.6222222222222222,,0.6873333333333334
imagined,"C cross-subj, LOSO + align",False,31,42,0.8809523809523809,0.7436833223936222,0.9601944710573116,0.6190476190476191,,0.6833333333333333
imagined,"C cross-subj, LOSO + align",False,32,45,0.9333333333333333,0.8173155434217731,0.9860349029556295,0.6222222222222222,,0.6813333333333333
imagined,"C cross-subj, LOSO + align",False,33,42,0.7619047619047619,0.605497570978424,0.8794838135078201,0.6190476190476191,,0.6893333333333334
imagined,"C cross-subj, LOSO + align",False,35,45,0.7333333333333333,0.5805532952579822,0.8539592841618702,0.6222222222222222,,0.6893333333333334
imagined,"C cross-subj, LOSO + align",False,36,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191,,0.6926666666666667
imagined,"C cross-subj, LOSO + align",False,37,43,0.5813953488372093,0.42126959652075174,0.7298858772954422,0.627906976744186,,0.692
imagined,"C cross-subj, LOSO + align",False,39,42,0.6666666666666666,0.5045125357367691,0.8043319519634817,0.6190476190476191,,0.69
imagined,"C cross-subj, LOSO + align",False,41,44,0.7954545454545454,0.6469549432217505,0.9019568236394089,0.6136363636363636,,0.6933333333333334
imagined,"C cross-subj, LOSO + align",False,43,42,0.8571428571428571,0.7146061580867288,0.9457161416212352,0.6190476190476191,,0.6906666666666667
imagined,"C cross-subj, LOSO + align",False,46,45,0.6666666666666666,0.5104963621416386,0.799994311989305,0.6222222222222222,,0.692
imagined,"C cross-subj, LOSO + align",False,49,42,0.8809523809523809,0.7436833223936222,0.9601944710573116,0.6190476190476191,,0.6933333333333334
imagined,"C cross-subj, LOSO + align",False,50,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191,,0.6926666666666667
imagined,"C cross-subj, LOSO + align",False,51,45,0.6444444444444445,0.48780100514814595,0.7813159892644141,0.6222222222222222,,0.6946666666666667
imagined,"C cross-subj, LOSO + align",False,52,42,0.8333333333333334,0.6863591331193288,0.9302593363443249,0.6190476190476191,,0.696
imagined,"C cross-subj, LOSO + align",False,54,42,0.8333333333333334,0.6863591331193288,0.9302593363443249,0.6190476190476191,,0.6946666666666667
imagined,"C cross-subj, LOSO + align",False,57,45,0.6,0.4433135124790022,0.7430241048073687,0.6222222222222222,,0.692
imagined,"C cross-subj, LOSO + align",False,59,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,,0.692
imagined,"C cross-subj, LOSO + align",False,60,42,0.8809523809523809,0.7436833223936222,0.9601944710573116,0.6190476190476191,,0.6946666666666667
imagined,"C cross-subj, LOSO + align",False,61,45,0.8222222222222222,0.6794657566066298,0.9199820425426939,0.6222222222222222,,0.6933333333333334
imagined,"C cross-subj, LOSO + align",False,63,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191,,0.6966666666666667
imagined,"C cross-subj, LOSO + align",False,66,45,0.35555555555555557,0.21868401073558577,0.5121989948518539,0.6222222222222222,,0.6906666666666667
imagined,"C cross-subj, LOSO + align",False,68,42,0.6904761904761905,0.5291393710678833,0.8237789173580449,0.6190476190476191,,0.6913333333333334
imagined,"C cross-subj, LOSO + align",False,69,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191,,0.6933333333333334
imagined,"C cross-subj, LOSO + align",False,70,42,0.9047619047619048,0.7737751284472205,0.9734364303592397,0.6190476190476191,,0.6913333333333334
imagined,"C cross-subj, LOSO + align",False,73,42,0.7380952380952381,0.5796033128823919,0.8613898679115296,0.6190476190476191,,0.6913333333333334
imagined,"C cross-subj, LOSO + align",False,76,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191,,0.6913333333333334
imagined,"C cross-subj, LOSO + align",False,78,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191,,0.69
imagined,"C cross-subj, LOSO + align",False,80,42,0.7619047619047619,0.605497570978424,0.8794838135078201,0.6190476190476191,,0.692
imagined,"C cross-subj, LOSO + align",False,81,42,0.6904761904761905,0.5291393710678833,0.8237789173580449,0.6190476190476191,,0.6906666666666667
imagined,"C cross-subj, LOSO + align",False,83,45,0.7555555555555555,0.6046290712401733,0.871177185396492,0.6222222222222222,,0.6933333333333334
imagined,"C cross-subj, LOSO + align",False,86,45,0.8222222222222222,0.6794657566066298,0.9199820425426939,0.6222222222222222,,0.692
imagined,"C cross-subj, LOSO + align",False,87,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,,0.6913333333333334
imagined,"C cross-subj, LOSO + align",False,90,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191,,0.6926666666666667
imagined,"C cross-subj, LOSO + align",False,94,42,0.9523809523809523,0.838358040308346,0.99418017516449,0.6190476190476191,,0.694
imagined,"C cross-subj, LOSO + align",False,96,45,0.5777777777777777,0.42150328448812835,0.7234329717538803,0.6222222222222222,,0.692
imagined,"C cross-subj, LOSO + align",False,102,42,0.8095238095238095,0.6588155863958433,0.9139944055440679,0.6190476190476191,,0.6913333333333334
imagined,"C cross-subj, LOSO + align",False,103,45,0.6444444444444445,0.48780100514814595,0.7813159892644141,0.6222222222222222,,0.6926666666666667
imagined,"C cross-subj, LOSO + align",False,105,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191,,0.69
imagined,"C cross-subj, LOSO + align",False,106,45,0.6666666666666666,0.5104963621416386,0.799994311989305,0.6222222222222222,,0.6893333333333334
imagined,"C cross-subj, LOSO + align",False,109,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,1,29,0.6206896551724138,0.4226046406644011,0.7931313005134929,0.6551724137931034,,0.682
imagined,D LOSO + 16 calib trials,False,2,26,0.7692307692307693,0.5635249030586136,0.9102598891154248,0.6538461538461539,,0.6853333333333333
imagined,D LOSO + 16 calib trials,False,4,26,0.6923076923076923,0.48210356355425843,0.8567400020722964,0.6538461538461539,,0.6893333333333334
imagined,D LOSO + 16 calib trials,False,5,26,0.38461538461538464,0.20226024365502038,0.5942924647014085,0.6538461538461539,,0.6993333333333334
imagined,D LOSO + 16 calib trials,False,6,26,0.6153846153846154,0.40570753529859144,0.7977397563449796,0.6538461538461539,,0.6913333333333334
imagined,D LOSO + 16 calib trials,False,7,29,1.0,0.8805551309304973,1.0,0.6551724137931034,,0.676
imagined,D LOSO + 16 calib trials,False,8,26,0.6153846153846154,0.40570753529859144,0.7977397563449796,0.6538461538461539,,0.6913333333333334
imagined,D LOSO + 16 calib trials,False,9,26,0.5,0.2992721794415965,0.7007278205584035,0.6538461538461539,,0.6933333333333334
imagined,D LOSO + 16 calib trials,False,10,26,0.6538461538461539,0.4433280739576097,0.8278558619943336,0.6538461538461539,,0.6893333333333334
imagined,D LOSO + 16 calib trials,False,13,26,0.7692307692307693,0.5635249030586136,0.9102598891154248,0.6538461538461539,,0.6853333333333333
