centre_s,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig
1.8499999999999992,,0.6284680337756333,0.609133513643975,0.6474995371726078,0.6280475160587429,0.12472274010160453,0.6206349206349207,0.5369047619047619,0.724025974025974,0.38095238095238093,0.9333333333333333,58,2487,0.4827586206896552
2.049999999999999,,0.6184157619622035,0.5989925522755342,0.6375596852944923,0.6175932483270092,0.1206585524403159,0.6190476190476191,0.5027777777777778,0.705952380952381,0.4186046511627907,0.8666666666666667,58,2487,0.4482758620689655
2.249999999999999,,0.607157217531162,0.587644939477495,0.6264167811377652,0.6064630437725868,0.13057070117696512,0.5952380952380952,0.5238095238095238,0.7134920634920635,0.30952380952380953,0.9111111111111111,58,2487,0.41379310344827586
2.4499999999999993,,0.6015279453156414,0.5819751476914845,0.6208413122544872,0.60075199237188,0.12783424386275283,0.5976190476190476,0.5059523809523809,0.6904761904761905,0.3333333333333333,0.8888888888888888,58,2487,0.3448275862068966
2.649999999999999,,0.6067551266586249,0.5872398660611875,0.6260186216954348,0.6060985615115527,0.13010120001471656,0.6095238095238096,0.5059523809523809,0.705952380952381,0.37777777777777777,0.8666666666666667,58,2487,0.4482758620689655
2.8499999999999988,,0.5854443104141536,0.5657902826365735,0.604896854038607,0.5847002502976841,0.12430849811531239,0.5777777777777777,0.47923588039867104,0.6666666666666666,0.37777777777777777,0.8666666666666667,58,2487,0.3448275862068966
3.049999999999999,,0.5701648572577402,0.5504343376243883,0.5897299336492395,0.5695184170725469,0.116531225246312,0.5476190476190477,0.47619047619047616,0.6607142857142857,0.35714285714285715,0.8222222222222222,58,2487,0.3103448275862069
3.249999999999999,,0.573783675110575,0.5540695555631416,0.5933238160518552,0.5734050031764547,0.11046661251410791,0.5568475452196382,0.5,0.6440476190476191,0.35555555555555557,0.8333333333333334,58,2487,0.3275862068965517
3.449999999999999,,0.5677523120225171,0.5480114476972872,0.5873334231466261,0.5676790531040732,0.11695717803467323,0.5555555555555556,0.47619047619047616,0.6611111111111111,0.35555555555555557,0.8095238095238095,58,2487,0.29310344827586204
3.6499999999999986,,0.5641334941696824,0.5443779934701617,0.5837377764410971,0.5640951848650326,0.11556079735437912,0.5476190476190477,0.46904761904761905,0.6428571428571429,0.3333333333333333,0.7857142857142857,58,2487,0.29310344827586204
